customer_id,product,signup_date_time,cancel_date_time,is_cancelled,subscription_duration_days,age,gender,product_id,name,price,billing_cycle,total_support_cases,months_active,estimated_revenue,age_group
C382172,prd_1,2020-12-17 14:18:59,,False,379,53,female,prd_1,annual_subscription,1200,12,0,13.0,2400.0,46-60
C439780,prd_1,2021-05-09 13:57:02,,False,236,42,male,prd_1,annual_subscription,1200,12,1,8.0,1200.0,31-45
C41553,prd_1,2019-05-01 11:48:54,,False,975,42,male,prd_1,annual_subscription,1200,12,1,33.0,3600.0,31-45
C472959,prd_1,2021-08-02 14:40:39,,False,151,58,male,prd_1,annual_subscription,1200,12,0,6.0,1200.0,46-60
C388138,prd_1,2021-01-08 16:20:25,,False,357,55,male,prd_1,annual_subscription,1200,12,0,12.0,1200.0,46-60
C47278,prd_1,2019-07-01 12:26:51,2021-08-06 13:42:35,True,767,53,male,prd_1,annual_subscription,1200,12,1,26.0,3600.0,46-60
C472933,prd_2,2021-08-02 14:17:04,,False,151,67,male,prd_2,monthly_subscription,125,1,1,6.0,750.0,60+
C109872,prd_2,2021-04-27 12:49:13,,False,248,76,male,prd_2,monthly_subscription,125,1,2,9.0,1125.0,60+
C289457,prd_1,2020-02-13 18:43:19,2020-06-02 16:06:43,True,109,62,female,prd_1,annual_subscription,1200,12,2,4.0,1200.0,60+
C262665,prd_1,2019-10-16 19:43:39,,False,806,65,male,prd_1,annual_subscription,1200,12,0,27.0,3600.0,60+
C139312,prd_2,2017-03-31 16:49:03,,False,1736,70,female,prd_2,monthly_subscription,125,1,0,58.0,7250.0,60+
C100002,prd_1,2021-02-13 11:51:02,,False,321,47,female,prd_1,annual_subscription,1200,12,1,11.0,1200.0,46-60
C388023,prd_1,2021-01-08 13:29:06,2021-10-23 13:53:10,True,288,55,male,prd_1,annual_subscription,1200,12,0,10.0,1200.0,46-60
C310339,prd_1,2020-04-10 16:55:43,,False,630,61,female,prd_1,annual_subscription,1200,12,0,21.0,2400.0,60+
C447036,prd_2,2021-05-26 08:48:26,,False,219,65,male,prd_2,monthly_subscription,125,1,1,8.0,1000.0,60+
C122398,prd_2,2021-08-11 13:44:09,,False,142,47,male,prd_2,monthly_subscription,125,1,2,5.0,625.0,46-60
C26605,prd_2,2018-09-04 13:48:37,,False,1214,62,female,prd_2,monthly_subscription,125,1,1,41.0,5125.0,60+
C186003,prd_1,2018-09-05 19:10:28,2018-11-15 14:04:24,True,70,54,male,prd_1,annual_subscription,1200,12,0,3.0,1200.0,46-60
C194007,prd_1,2019-01-01 21:00:41,2021-05-10 17:35:03,True,859,34,male,prd_1,annual_subscription,1200,12,0,29.0,3600.0,31-45
C425480,prd_1,2021-04-05 20:20:16,2021-04-06 10:33:39,True,0,59,male,prd_1,annual_subscription,1200,12,0,1.0,1200.0,46-60
C43829,prd_2,2019-05-24 12:18:30,,False,952,75,male,prd_2,monthly_subscription,125,1,1,32.0,4000.0,60+
C22577,prd_1,2018-06-11 13:47:59,,False,1299,63,male,prd_1,annual_subscription,1200,12,3,44.0,4800.0,60+
C325293,prd_1,2020-05-21 14:57:42,,False,589,65,male,prd_1,annual_subscription,1200,12,1,20.0,2400.0,60+
C39334,prd_2,2019-04-09 11:50:05,2019-06-29 21:37:14,True,81,35,male,prd_2,monthly_subscription,125,1,1,3.0,375.0,31-45
C207162,prd_1,2019-02-22 15:04:50,2019-10-16 12:28:52,True,235,54,female,prd_1,annual_subscription,1200,12,0,8.0,1200.0,46-60
C115732,prd_2,2021-06-12 10:38:29,,False,202,57,female,prd_2,monthly_subscription,125,1,2,7.0,875.0,46-60
C271583,prd_1,2019-12-16 13:29:25,,False,746,62,male,prd_1,annual_subscription,1200,12,2,25.0,3600.0,60+
C117160,prd_1,2021-06-23 14:14:59,,False,191,52,female,prd_1,annual_subscription,1200,12,2,7.0,1200.0,46-60
C292693,prd_1,2020-02-23 14:24:17,2021-09-01 12:08:59,True,555,63,male,prd_1,annual_subscription,1200,12,0,19.0,2400.0,60+
C39830,prd_1,2019-04-15 09:49:21,,False,991,73,male,prd_1,annual_subscription,1200,12,1,34.0,3600.0,60+
C472069,prd_2,2021-07-30 11:31:08,,False,154,72,male,prd_2,monthly_subscription,125,1,2,6.0,750.0,60+
C301297,prd_2,2020-03-17 16:14:47,,False,654,65,male,prd_2,monthly_subscription,125,1,0,22.0,2750.0,60+
C227549,prd_1,2019-05-13 08:30:02,,False,963,64,female,prd_1,annual_subscription,1200,12,0,33.0,3600.0,60+
C59379,prd_1,2019-12-22 15:07:52,,False,740,64,female,prd_1,annual_subscription,1200,12,2,25.0,3600.0,60+
C446775,prd_1,2021-05-25 13:55:23,,False,220,63,male,prd_1,annual_subscription,1200,12,1,8.0,1200.0,60+
C175179,prd_1,2018-06-06 09:20:55,2019-03-23 11:18:30,True,290,68,female,prd_1,annual_subscription,1200,12,1,10.0,1200.0,60+
